pclass,age,sibsp,parch,fare,adult_male,alone,sex_male,embarked_Q,embarked_S,class_Second,class_Third,who_man,who_woman,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,embark_town_Queenstown,embark_town_Southampton,alive_yes,survived
0.8851584339817992,-0.5573595573867377,0.48400949940768595,-0.49715690120713385,-0.5268249741206591,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
-1.4553616747592824,0.6082975850658525,0.48400949940768595,-0.49715690120713385,0.7015874288349461,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
0.8851584339817992,-0.2659452717735902,-0.5305986490832921,-0.49715690120713385,-0.5138757996755652,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1
-1.4553616747592824,0.38973687085599185,0.48400949940768595,-0.49715690120713385,0.35275969003868457,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
0.8851584339817992,0.38973687085599185,-0.5305986490832921,-0.49715690120713385,-0.5114778044079552,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
0.8851584339817992,-0.10202473611619467,-0.5305986490832921,-0.49715690120713385,-0.503644992665834,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0
-1.4553616747592824,1.7739547275184429,-0.5305986490832921,-0.49715690120713385,0.3290195368893456,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
0.8851584339817992,-2.0144309854524756,2.513225796389642,0.6984596955609427,-0.2616066975229945,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0.8851584339817992,-0.1930917003703033,-0.5305986490832921,1.894076292329019,-0.4523278939389802,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1
-0.2851016203887416,-1.1401881286130329,0.48400949940768595,-0.49715690120713385,-0.08903161089606702,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
0.8851584339817992,-1.8687238426459019,0.48400949940768595,0.6984596955609427,-0.345536531889344,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1
-1.4553616747592824,2.0653690131315905,-0.5305986490832921,-0.49715690120713385,-0.15657450480167695,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1
0.8851584339817992,-0.7030667001933115,-0.5305986490832921,-0.49715690120713385,-0.5114778044079552,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
0.8851584339817992,0.6811511564691394,0.48400949940768595,5.48092608263325,-0.06593028368601944,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
0.8851584339817992,-1.1401881286130329,-0.5305986490832921,-0.49715690120713385,-0.5152340241951395,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
-0.2851016203887416,1.8468082989217296,-0.5305986490832921,-0.49715690120713385,-0.35896530538795995,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1
0.8851584339817992,-2.0144309854524756,3.52783394488062,0.6984596955609427,-0.10717580228891121,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
-0.2851016203887416,-0.10202473611619467,-0.5305986490832921,-0.49715690120713385,-0.41651719181059965,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1
0.8851584339817992,0.09832258524284428,0.48400949940768595,-0.49715690120713385,-0.3205973811062002,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
0.8851584339817992,-0.10202473611619467,-0.5305986490832921,-0.49715690120713385,-0.5273045731741811,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1
-0.2851016203887416,0.38973687085599185,-0.5305986490832921,-0.49715690120713385,-0.16712568397916092,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
-0.2851016203887416,0.31688329945270494,-0.5305986490832921,-0.49715690120713385,-0.41651719181059965,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1
0.8851584339817992,-1.067334557209746,-0.5305986490832921,-0.49715690120713385,-0.5118768308204855,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
-1.4553616747592824,-0.1202381289670164,-0.5305986490832921,-0.49715690120713385,0.015121956359198187,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1
0.8851584339817992,-1.5773095570327542,2.513225796389642,0.6984596955609427,-0.2616066975229945,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0
0.8851584339817992,0.6082975850658525,0.48400949940768595,5.48092608263325,-0.06377208794517043,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1
0.8851584339817992,-0.10202473611619467,-0.5305986490832921,-0.49715690120713385,-0.5273045731741811,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
-1.4553616747592824,-0.7759202715965984,2.513225796389642,1.894076292329019,4.379473343409376,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0
0.8851584339817992,-0.10202473611619467,-0.5305986490832921,-0.49715690120713385,-0.5147544251416175,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
0.8851584339817992,-0.10202473611619467,-0.5305986490832921,-0.49715690120713385,-0.5144359713700789,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
-1.4553616747592824,0.7540047278724263,-0.5305986490832921,-0.49715690120713385,-0.13411392192713475,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
-1.4553616747592824,-0.10202473611619467,0.48400949940768595,-0.49715690120713385,2.144940780409398,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
0.8851584339817992,-0.10202473611619467,-0.5305986490832921,-0.49715690120713385,-0.5172329930502192,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1
